_id,Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
1,2015,4,AHMEDABAD,BENGALURU,11614,13209,"","","",""
2,2015,5,AHMEDABAD,BENGALURU,15846,13112,"","","",""
3,2015,6,AHMEDABAD,BENGALURU,13007,12170,"","","",""
4,2015,7,AHMEDABAD,BENGALURU,12967,12590,"","","",""
5,2015,8,AHMEDABAD,BENGALURU,12375,11730,"","","",""
6,2015,9,AHMEDABAD,BENGALURU,8813,8252,"","","",""
7,2015,9,AHMEDABAD,BENGALURU,3349,3542,"","","",""
8,2015,10,AHMEDABAD,BENGALURU,13819,13994,"","","",""
9,2015,11,AHMEDABAD,BENGALURU,14184,13924,"","","",""
10,2015,12,AHMEDABAD,BENGALURU,15192,14784,"","","",""
11,2015,4,AHMEDABAD,BHOPAL,208,128,"","","",""
12,2015,5,AHMEDABAD,BHOPAL,1020,720,"","","",""
13,2015,6,AHMEDABAD,BHOPAL,875,712,"","","",""
14,2015,7,AHMEDABAD,BHOPAL,916,572,"","","",""
15,2015,8,AHMEDABAD,BHOPAL,859,568,"","","",""
16,2015,9,AHMEDABAD,BHOPAL,762,518,"","","",""
17,2015,10,AHMEDABAD,BHOPAL,696,400,"","","",""
18,2015,11,AHMEDABAD,BHOPAL,842,588,"","","",""
19,2015,12,AHMEDABAD,BHOPAL,894,697,"","","",""
20,2015,4,AHMEDABAD,CHENNAI,12616,14905,"","","",""
21,2015,5,AHMEDABAD,CHENNAI,16090,14762,"","","",""
22,2015,6,AHMEDABAD,CHENNAI,13855,12988,"","","",""
23,2015,7,AHMEDABAD,CHENNAI,14157,13514,"","","",""
24,2015,8,AHMEDABAD,CHENNAI,12809,13063,"","","",""
25,2015,9,AHMEDABAD,CHENNAI,12636,13147,"","","",""
26,2015,10,AHMEDABAD,CHENNAI,16672,15771,"","","",""
27,2015,11,AHMEDABAD,CHENNAI,12151,12541,"","","",""
28,2015,12,AHMEDABAD,CHENNAI,9302,9246,"","","",""
29,2015,4,AHMEDABAD,COIMBATORE,540,498,"","","",""
30,2015,5,AHMEDABAD,COIMBATORE,946,1204,"","","",""
31,2015,6,AHMEDABAD,COIMBATORE,790,1245,"","","",""
32,2015,10,AHMEDABAD,COIMBATORE,199,325,"","","",""
33,2015,11,AHMEDABAD,COIMBATORE,779,809,"","","",""
34,2015,12,AHMEDABAD,COIMBATORE,987,887,"","","",""
35,2015,4,AHMEDABAD,DELHI,55343,50526,"","","",""
36,2015,5,AHMEDABAD,DELHI,59949,55634,"","","",""
37,2015,6,AHMEDABAD,DELHI,44645,52724,"","","",""
38,2015,7,AHMEDABAD,DELHI,46875,47903,"","","",""
39,2015,8,AHMEDABAD,DELHI,47109,46632,"","","",""
40,2015,9,AHMEDABAD,DELHI,50416,49477,"","","",""
41,2015,10,AHMEDABAD,DELHI,42997,39980,"","","",""
42,2015,11,AHMEDABAD,DELHI,65040,60975,"","","",""
43,2015,12,AHMEDABAD,DELHI,63558,72522,"","","",""
44,2015,4,AHMEDABAD,DIBRUGARH,418,386,"","","",""
45,2015,5,AHMEDABAD,DIBRUGARH,336,302,"","","",""
46,2015,6,AHMEDABAD,DIBRUGARH,343,429,"","","",""
47,2015,7,AHMEDABAD,DIBRUGARH,308,345,"","","",""
48,2015,8,AHMEDABAD,DIBRUGARH,293,292,"","","",""
49,2015,9,AHMEDABAD,DIBRUGARH,221,262,"","","",""
50,2015,10,AHMEDABAD,DIBRUGARH,297,288,"","","",""
51,2015,11,AHMEDABAD,DIBRUGARH,318,356,"","","",""
52,2015,12,AHMEDABAD,DIBRUGARH,339,395,"","","",""
53,2015,4,AHMEDABAD,GOA,4383,4549,"","","",""
54,2015,5,AHMEDABAD,GOA,5212,5230,"","","",""
55,2015,6,AHMEDABAD,GOA,4120,4576,"","","",""
56,2015,7,AHMEDABAD,GOA,4415,4414,"","","",""
57,2015,8,AHMEDABAD,GOA,4395,4412,"","","",""
58,2015,9,AHMEDABAD,GOA,4498,4414,"","","",""
59,2015,10,AHMEDABAD,GOA,4785,4835,"","","",""
60,2015,11,AHMEDABAD,GOA,8940,9094,"","","",""
61,2015,12,AHMEDABAD,GOA,9834,9164,"","","",""
62,2015,4,AHMEDABAD,GUWAHATI,850,843,"","","",""
63,2015,5,AHMEDABAD,GUWAHATI,776,861,"","","",""
64,2015,6,AHMEDABAD,GUWAHATI,998,1025,"","","",""
